Name,CMP,PE,MarCap,DivYld,NPQtr,QtrProfitVar,SalesQtr,QtrSalesVar,ROCE,ROE5Yr,ROE3Yr,ROE7Yr
Reliance Industr,1456.4,28.3,1970868.77,0.34,22611.0,2.41,261388.0,10.51,9.43,8.51,8.89,8.91
HDFC Bank,1934.7,20.92,1481127.37,1.14,19284.57,6.88,86779.34,9.25,7.51,16.15,16.01,16.24
TCS,3561.3,26.56,1288509.51,1.68,12293.0,-1.69,64479.0,5.29,64.63,46.84,50.3,43.96
Bharti Airtel,1814.0,39.22,1087687.53,0.44,12475.8,185.61,47876.2,27.33,15.36,16.96,19.35,13.72
ICICI Bank,1454.0,20.31,1036571.84,0.69,14353.69,15.69,48386.92,13.57,7.88,16.81,18.02,14.82
St Bk of India,792.1,9.11,706919.15,2.01,20379.46,-8.34,126997.0,8.11,6.47,14.97,17.12,12.59
Infosys,1589.9,24.9,660327.36,2.7,7038.0,-11.75,40925.0,7.92,37.5,29.76,30.72,28.43
Bajaj Finance,9167.0,34.24,569663.64,0.48,4545.57,17.13,18456.85,23.65,11.29,19.58,21.17,19.8
Hind. Unilever,2381.4,53.68,559531.66,1.76,2475.0,2.61,15670.0,3.02,27.85,21.12,20.47,25.15
ITC,435.7,27.44,545240.2,3.16,5013.18,-8.4,18790.17,9.28,37.47,25.74,27.51,24.94
Larsen & Toubro,3604.7,33.64,495715.52,0.94,6155.82,19.34,74392.28,10.9,14.03,14.39,14.22,14.49
HCL Technologies,1659.9,25.89,450441.27,3.25,4309.0,8.1,30246.0,6.13,31.88,22.79,23.87,23.18
Kotak Mah. Bank,2108.2,21.78,419162.91,0.09,4932.76,-7.58,16771.93,10.66,7.64,13.91,14.2,13.85
Sun Pharma.Inds.,1734.9,35.3,416260.62,0.78,2912.98,22.66,13675.46,10.46,17.32,13.79,15.84,12.41
Maruti Suzuki,12995.0,28.18,408566.14,0.96,3911.1,-1.04,40920.1,6.37,21.76,12.73,15.31,12.13
M & M,3135.6,30.16,389920.9,0.67,3541.85,19.65,42599.31,20.16,14.07,15.49,18.18,13.28
Axis Bank,1208.8,13.35,374527.74,0.08,7509.1,-1.63,32452.32,7.35,7.11,13.43,14.87,11.87
UltraTech Cem.,11905.0,57.35,350815.55,0.59,2474.79,7.44,23063.32,12.95,10.93,11.68,10.36,11.78
Hind.Aeronautics,5127.7,41.02,342927.76,0.68,3976.63,-7.71,13699.85,-7.24,33.87,27.0,27.3,26.11
NTPC,343.1,15.14,332692.62,2.26,5169.69,-1.8,45052.82,5.21,10.47,12.06,12.78,12.15
Bajaj Finserv,2033.6,36.62,324931.3,0.05,4756.32,14.07,36595.36,14.21,10.96,13.84,14.38,13.74
Titan Company,3633.7,96.67,322594.86,0.3,871.0,12.97,14916.0,19.39,22.17,28.1,31.81,27.3
O N G C,247.27,7.86,311072.56,4.95,9783.64,-17.97,166096.68,-0.75,18.43,13.35,16.51,13.27
Adani Ports,1407.4,26.98,304017.96,0.5,3023.1,29.88,8488.44,23.08,14.61,17.1,17.58,16.99
Adani Enterp.,2555.0,64.07,294893.18,0.05,4014.9,88.79,26965.86,-7.59,9.71,8.7,9.94,8.0
Power Grid Corpn,300.2,17.96,279204.13,3.75,3861.63,-4.14,11233.03,-2.74,13.21,18.59,19.16,17.63
Avenue Super.,4189.7,100.7,272637.63,0.0,550.79,-2.19,14871.86,16.86,18.02,13.25,14.52,13.7
Tata Motors,730.7,11.34,268996.15,0.41,8556.0,-49.58,119503.0,0.39,19.97,15.59,27.67,8.45
Wipro,254.31,20.28,266346.6,2.36,3588.1,25.93,22504.2,1.33,19.67,17.11,15.64,17.16
Bharat Electron,363.9,53.3,266002.85,0.6,1311.6,52.51,5770.69,38.65,34.61,22.08,23.44,21.66
JSW Steel,1021.8,71.42,249876.49,0.71,719.0,-67.71,41378.0,-1.34,13.3,16.83,17.14,18.16
Coal India,404.8,7.07,249467.24,6.3,9592.53,12.45,37824.54,-1.02,48.04,46.54,48.61,49.37
Eternal Ltd,245.76,450.03,237167.02,0.0,39.0,-77.71,5833.0,63.76,3.18,-3.05,-0.49,-8.36
Bajaj Auto,8482.5,31.44,236880.27,0.94,2195.65,8.02,13168.88,8.25,33.53,21.81,22.01,21.78
Nestle India,2408.8,74.97,232246.18,0.71,885.41,-4.45,5503.88,4.49,73.27,107.8,106.53,90.74
Asian Paints,2353.6,57.47,225756.79,1.05,700.83,-35.15,8358.91,-4.26,25.73,25.92,26.34,25.9
Adani Power,565.5,17.11,218109.9,0.0,2599.23,-5.04,14237.4,6.54,22.52,37.2,40.16,32.83
I O C L,144.72,16.84,204362.56,8.29,8367.63,57.76,195270.29,-1.7,7.37,15.52,13.12,14.22
